idx,Title of the Solution,Type of the Solution,Affected Sector,Description of the solution,Socio-economic effects,Type of Measure--1. active measures (direct measures for reduction of air pollution),Type of Measure--2. policy/regulation measure,Type of Measure--3. mitigation measures,Type of Measure--4. awareness raising and knowladge sharing,Type of sub-measure--1. active measures (direct measures for reduction of air pollution),Type of sub-measure--2. policy/regulation measure,Type of sub-measure--3. mitigation measures,Type of sub-measure--4. awareness raising and knowladge sharing,Type of sub-measure--5. (none),Who led the solution--civil society organization,Who led the solution--environmental ngos,Who led the solution--households/individuals,Who led the solution--international development agencies,Who led the solution--international organization,Who led the solution--local government,Who led the solution--national government,Who led the solution--other,Who led the solution--other public institution,Who led the solution--private sector,Who led the solution--professional organization,Who led the solution--schools,Who led the solution--students,Who led the solution--teachers,Who led the solution--academia,Timescale of implementation--long-term (5 and above),Timescale of implementation--medium-term (2-4 years),Timescale of implementation--ongoing (data collection and advocacy are continuous processes),Timescale of implementation--short-term (up to 1 year),Timescale of implementation--varies,Other Notes,Location--1,Location--2,Location--3,Location--4,Location--5,Location--6,Location--7,Location--8,Location--9,Location--10,Location--11,Location--12,Location--13,Tags for the solution--1,Tags for the solution--2,Tags for the solution--3,Tags for the solution--4,Tags for the solution--5,SDG(s)--1,SDG(s)--2,SDG(s)--3,SDG(s)--4,location-1-lat,location-1-lng,location-2-lat,location-2-lng,location-3-lat,location-3-lng,location-4-lat,location-4-lng,location-5-lat,location-5-lng,location-6-lat,location-6-lng,location-7-lat,location-7-lng,location-8-lat,location-8-lng,location-9-lat,location-9-lng,location-10-lat,location-10-lng,location-11-lat,location-11-lng,location-12-lat,location-12-lng,location-13-lat,location-13-lng,auto_thematic-tag-1,auto_thematic-tag-2,auto_thematic-tag-3,auto_thematic-tag-4,auto_thematic-tag-5,auto_thematic-tag-6,auto_thematic-tag-7,auto_thematic-tag-8,auto_thematic-tag-9,auto_thematic-tag-10,auto_thematic-tag-11,auto_thematic-tag-12,auto_thematic-tag-13,auto_thematic-tag-14,auto_thematic-tag-15,auto_thematic-tag-16,auto_thematic-tag-17,auto_thematic-tag-18,auto_thematic-tag-19,auto_thematic-tag-20,auto_thematic-tag-21,auto_thematic-tag-22,auto_thematic-tag-23,auto_thematic-tag-24,auto_thematic-tag-25,auto_thematic-tag-26,auto_thematic-tag-27,auto_thematic-tag-28,auto_thematic-tag-29,auto_thematic-tag-30,auto_thematic-tag-31,auto_thematic-tag-32,auto_thematic-tag-33,auto_thematic-tag-34,auto_thematic-tag-35,auto_thematic-tag-36,auto_thematic-tag-37,thematic_areas-tag-1,thematic_areas-tag-2,thematic_areas-tag-3,thematic_areas-tag-4,thematic_areas-tag-5,sdgs-tag-1,sdgs-tag-2,sdgs-tag-3,sdgs-tag-4
1,Clean Energy Home Loan,Subsidy,"Energy, Households","The Clean Energy Home Loan is about rewarding people who are looking to do things like add solar panels, window glazing and insulation to the home, or even buy or build a planet-friendly, energy efficient home.",Reduce carbon emissions from homes,FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"-24.7761086, 134.755",,,,,,,,,,,,,Financial tool,Subsidy,Energy efficiency,Green home,,Affordable and clean energy,Climate action,,,-24.7761086,134.755,,,,,,,,,,,,,,,,,,,,,,,,,solar,benefit,shield,wraps,coverage,houses,improve,participate,padding,neighborhood,motivation,desired,required,harm,improving,photo,sun,threats,neighbourhood,,,,,,,,,,,,,,,,,,,energy efficiency,Subsidy,Financial tool,Green home,,Climate action,Affordable and clean energy,,
2,Federal Subsidy for Efficient Buildings,Subsidy,"Energy, Households","Operated by the German development bank KfW, a tool derivated from the Climate Action Programme 2030 aiming to promote building renovation across the country. The BEG combines existing programs to promote energy efficiency and renewable energies in the building sector and supports, among other things, the use of new heating systems, the optimization of existing heating systems, measures on the building envelope and the use of optimized system technology.","Improve energy efficiency, Reduce carbon emissions from buildings",FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"51.1638175, 10.4478313",,,,,,,,,,,,,Financial tool,Subsidy,Energy efficiency,Green home,,Affordable and clean energy,Climate action,,,51.1638175,10.4478313,,,,,,,,,,,,,,,,,,,,,,,,,designing,demographics,reconstitution,émissions,innovationchallenge,gasoline,cooled,electric,excels,project,chemicals,observations,developed,measuring,réchauffement,analyse,greenhouse,pollution,heat,digitalisation,craft,,,,,,,,,,,,,,,,,Financial tool,Green home,Subsidy,energy efficiency,,Affordable and clean energy,Climate action,,
3,Property Assessed Clean Energy Programs,Finance,Energy,"An innovative mechanism for financing energy efficiency and renewable energy improvements on private property. PACE programs exist for Commercial properties and Residential properties. The unique characteristic of PACE assessments is that the assessment is attached to the property rather than an individual. 
The recent extension of this financing model to energy efficiency and renewable energy allows a property owner to implement improvements without a large up-front cash payment.",Improve energy efficiency,FALSE,FALSE,Mitigation measure,FALSE,FALSE,Policy/regulation measure,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"The disadvantages include: (1) Available only to property owners; (2) Cannot finance portable items (screw-in light bulbs, standard refrigerators, etc.); (3) Can require dedicated local government staff time; (4) May require high legal and administrative setup obligations; (5) Not appropriate for investments below $2,500; (6) Potential resistance by lenders/mortgage-holders whose claims to the property may be subordinated to the unpaid assessment amount should the property go into foreclosure.","39.7837304, -100.445882",,,,,,,,,,,,,Financial tool,Energy efficiency,,,,Affordable and clean energy,Climate action,,,39.7837304,-100.445882,,,,,,,,,,,,,,,,,,,,,,,,,siirtona,older,huge,language,demographics,formalization,required,restrictions,excels,day,financières,month,civil,country,administration,complementaries,decades,improving,analyse,translation,foreclosure,political,regulations,керівник,participate,والاجتماعية,pay,purchase,efficient,politicians,business,,,,,,,Financial tool,energy efficiency,,,,,,,
4,The Green Deal,Subsidy,"Energy, Households","A UK government policy initiative that gave homeowners, landlords and tenants the opportunity to pay for energy efficient home improvements through the savings on their energy bills from 2012 to 2015. At the heart of the Green Deal was the rule that savings on bills would exceed the cost of the work. By meeting this 'Golden Rule', consumers were able to receive energy savings without direct cost. Consumers then paid back the cost of such improvements through the expected savings in their energy bills.",Reduce carbon emissions from homes,FALSE,FALSE,Mitigation measure,FALSE,FALSE,Policy/regulation measure,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"1. In troduction provided by Wikipedia: https://en.wikipedia.org/wiki/The_Green_Deal#cite_note-4
2. Academic research about its challenges: (1) Resident awareness and understanding of the Green Deal is low; (2) Green Deal assessment costs and loan interest rates are biggest barriers to uptake; (3) Number of use of Energy Company ObligaHon (ECO) installaHons over the same period; (4) Hidden costs: Rooted in fear, such as ‚Äòtrust‚Äô, hidden costs include the stress and inconvenience of construc'on mess (‚Äòhassle-factor‚Äô), fears that the work will be of poor quality and irreversible, and struggles to find a suitable installer.","54.7023545, -3.2765753",,,,,,,,,,,,,Financial tool,Subsidy,Energy efficiency,Green home,,Affordable and clean energy,Climate action,,,54.7023545,-3.2765753,,,,,,,,,,,,,,,,,,,,,,,,,pollution,purchase,efficient,financières,poor,improve,incubator,improving,irrigating,complicated,cooled,project,huge,business,threats,marginalised,irrigate,inconnue,easier,harm,resentment,émissions,lack,,,,,,,,,,,,,,,Green home,energy efficiency,Subsidy,Financial tool,,Climate action,Affordable and clean energy,,
5,Canada Greener Homes Initiative,"Subsidy, Financial tool","Energy, Households","The initiative includes Oil to Heat Pump Affordability program, Canada Greener Homes Grant, and Canada Greener Homes Loan.
Oil to Heat Pump Affordability program: grants up-to-$10,000 (regardless of province), or up-to-$15,000 in participating provinces, plus a $250 bonus (in participating provinces only), to switch from oil heating to an eligible heat pump.
Canada Greener Homes Grant (for existing applicants): grants-up- to-$5,000 to get part of your costs back for eligible home retrofits, plus up to $600 additional grant toward the total costs of your pre and post retrofit EnerGuide home evaluations.
Canada Greener Homes Loan: up to $40,000, interest-free with a repayment term of 10 years. The Canada Greener Homes Loan offers interest-free financing to help Canadians make their homes more energy efficient and comfortable, at the same time to reduce air pollution.",Reduce carbon emissions from homes,FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,Awareness raising and knowladge sharing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Barriers of the initiative: (1) Low-income population: Lack of affordable housing is a recognized problem in major cities of Canada. The low-income population is especially vulnerable and needs financial aid to improve the energy performance of their houses and reduce their energy bills. (2) Buildings built during a specific time period: The majority of Canadian buildings were constructed prior to the implementation of new energy-efficient building codes. Furthermore, old buildings that form a part of the cultural heritage have limited opinions in energy upgrades and require special incentives for energy improvement. (3) Aboriginal population: Future sustainability of the aboriginal community in Canada faces economic, social and environmental challenges. Aboriginal people are one of the most marginalized communities in Canada with limited energy resources. (4) The cost of investment for energy upgrades and limited return on investment are major barriers in energy efficiency improvement of rental housing sector. (5) Buildings built to specific building standard/code: Provision of green certification to a building adds additional burdens to the costs of Green Buildings.","61.0666922, -107.991707",,,,,,,,,,,,,Financial tool,Subsidy,Grants,Energy efficiency,Green home,Affordable and clean energy,Climate action,,,61.0666922,-107.991707,,,,,,,,,,,,,,,,,,,,,,,,,day,marginalised,segregated,harm,formalization,gasoline,costs,cooled,charity,marginalized,financières,chemicals,eco,ecological,month,improve,financial,decades,improving,hybride,cheap,fundraising,translation,керівник,participate,money,purchase,efficient,threats,business,older,huge,biowaste,language,,,,Green home,energy efficiency,Grants,Financial tool,Subsidy,Affordable and clean energy,Climate action,,
6,Congestion pricing,Policy,"Transport, Urban development, Environment","Congestion pricing attempts to reduce traffic and pollution by charging prices to drive in certain parts of a city. It has been done in London, Stockholm and Singapore.
From June 2024, the New York City‚Äôs plan will be the nation‚Äôs first, charging most drivers a $15 toll for entering much of Manhattan below 60th Street. Trucks would pay $24 or $36, depending on their size. Taxi fares would go up by $1.25, and Uber and Lyft fares by $2.50. Officials expect the plan will reduce traffic in one of the world‚Äôs busiest commercial districts by 17% ‚Äî similar to other cities with congestion pricing ‚Äî while also raising money for public transportation.","Reduce congestion, Reduce pollution, Raise revenue, Reduce Journey Time, Help increase the quality of life",FALSE,Policy/regulation measure,FALSE,FALSE,FALSE,FALSE,FALSE,Awareness raising and knowladge sharing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"1. This policy can be linked with ""Superblocks"" urban transformation policy implemented in Spain. There is one academic paper conducting research on the linkage between congestion pricing and superblocks in Washington, DC.
https://www.sciencepolicyjournal.org/uploads/5/4/3/4/5434385/navarro-serer_jspg_v18.1.pdf
2. Except for New York City, this policy has been implemented in other 4 cities, including Singapore(1975), London(2003), Stockholm(2007), Milan(2008).
https://climate-xchange.org/2019/05/29/investigating-the-impact-of-congestion-pricing-around-the-world/#:~:text=A%20Global%20History%20of%20Congestion%20Pricing%201%20Singapore,Milan%2C%20Italy%20...%205%20New%20York%2C%20NY%20","40.7127281, -74.0060152",,,,,,,,,,,,,Transport,,,,,Sustainable cities and communities,Climate action,,,40.7127281,-74.0060152,,,,,,,,,,,,,,,,,,,,,,,,,neighbourhood,downloadable,ties,participate,politicians,older,publication,printing,restrictions,cooled,day,ride,month,tomorrow,administration,municipales,evaporating,hold,decades,improving,pour,roads,neighborhood,political,,,,,,,,,,,,,,transport,,,,,Climate action,Sustainable cities and communities,,
7,30km/h Streets,Initiative,"Transport, Urban development, Environment, Public health","Campaign calling for limiting speeds to 30 km/h where people walk, live and play, as streets that promote safe walking and cycling can reduce car dependency and harmful vehicle emissions that contribute to climate change. Barcelona has been taking more steps to apply the 30 km/h limit in 75% of the city‚Äôs streets, including main roads.","Reduce harmful vehicle emissions, reduce fuel consumption, help prevent road traffic deaths, 
improve traffic flow, promote physical activity",Active measures (direct measures for reduction of air pollution),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Awareness raising and knowladge sharing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"1. There is #Love30 campaign launched by WHO to call for 30 km/h speed limits to be the norm for cities, towns and villages worldwide.
https://www.who.int/news/item/22-03-2021-campaign-launched-to-make-30-km-h-streets-the-norm-for-cities-worldwide
2. Effectiveness of city-wide 30 km/h speed limit, research outcome produced by George Yannis, Professor at National Technical University of Athens.
https://www.nrso.ntua.gr/geyannis/wp-content/uploads/geyannis-cp622.pdf","41.3828939, 2.1774322",,,,,,,,,,,,,Transport,Awareness raising,Urban Development,,,Good health and well-being,Sustainable cities and communities,Climate action,,41.3828939,2.1774322,,,,,,,,,,,,,,,,,,,,,,,,,day,publication,language,formalization,share_link,project,ride,collaborative,month,administration,municipales,decades,improving,roads,analyzed,neighborhood,translation,political,керівник,participate,bicicleta,efficient,politicians,neighbourhood,older,huge,,,,,,,,,,,,urban development,transport,awareness raising,,,,,,
8,Breathe Warsaw,Initiative,"Industry, Energy, Urban development","The Breathe Warsaw initiative takes advantage of Bloomberg Philanthropies‚Äô experience partnering with large cities, and the Clean Air Fund‚Äôs expertise in global clean air campaigns.
Make full use of Warsaw‚Äôs large network of air quality sensors to better understand pollution sources and guide future interventions; Design an effective and data-driven low-emission zone (Lez) to deliver a low-emission zone by the year 2024; Advance cleaner heating systems through strengthening technical support for collecting, analyzing, sharing, and applying air quality data to inform decision-making and regulation to accelerate the phase-out of coal heating;
Share best practices; Secure public support for clean air action to support clean air actions.","Improve air quality, enhance public health",Active measures (direct measures for reduction of air pollution),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Awareness raising and knowladge sharing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,An ambitious partnership with Clean Air Fund and Bloomberg Philanthropies to improve air quality in Poland‚Äôs capital.,"52.2319581, 21.0067249",,,,,,,,,,,,,Monitoring,Urban Policy,Renewable Energy,Awareness raising,,Good health and well-being,Sustainable cities and communities,Climate action,,52.2319581,21.0067249,,,,,,,,,,,,,,,,,,,,,,,,,cooled,populated,countries,demographics,émissions,collaboration,charity,day,collaborative,month,assistance,country,municipales,bonfires,improve,decades,improving,coal,bee,neighborhood,asian,pollution,clean,slabs,participate,heat,والاجتماعية,improvement,neighbourhood,older,,,,,,,,renewable energy,awareness raising,monitoring,Urban Policy,,Sustainable cities and communities,Good health and well-being,Climate action,
9,Project Learning Tree Canada,Educational Programme,"Education, Forestry","Advance environmental education, forest literacy, and career pathways using trees and forests, to help develop students‚Äô awareness, knowledge, and appreciation of the environment, builds their skills and ability to make informed decisions, and encourages them to take personal responsibility for sustaining the environment and our quality of life that depends on it.","Cultivating Leadership Qualities of students, Conserving Natural Resources",FALSE,FALSE,FALSE,Awareness raising and knowladge sharing,FALSE,FALSE,Mitigation measures,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,It is an initiative of the Sustainable Forestry Initiative. (https://forests.org),"39.7837304, -100.445882",,,,,,,,,,,,,Environmental education,,,,,Quality education,Climate action,,,39.7837304,-100.445882,,,,,,,,,,,,,,,,,,,,,,,,,educators,biowaste,threats,sustainable,older,planted,educational,cultivées,forest,easier,mental,harm,instructors,repurposed,day,project,eco,ecological,month,administration,attention,improve,decades,improving,managers,participate,religious,psychological,politicians,,,,,,,,,environmental education,,,,,Quality education,Climate action,,
10,,Diet,Health,"Ask residents to go meat-free for just one day a week, as one significant source of pollution is the release of greenhouse gases like methane and carbon dioxide during the process of animal farming. These gases are produced during the digestion process of livestock and are released into the atmosphere through manure storage and application. Consuming more plant-based foods greatly reduces emissions, ultimately leading to cleaner air.","Reduce emissions, help people be happier and healthier",FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,Awareness raising and knowladge sharing,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"39.7837304, -100.445882",,,,,,,,,,,,,Plant-based Eating,,,,,Good health and well-being,Climate action,,,39.7837304,-100.445882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plant-based Eating,,,,,Good health and well-being,Climate action,,
